,tid,dataset,qvid,vid1,vid2,rel1,rel2,s1,s2,s3,s4
20,20,moma-lrg,usS09KGPLfw,m_ZVJgM-bZI,bh0I-YA6aWY,0.8473152816295624,0.8238265812397003,0,0,0,0
21,21,moma-lrg,l4_FtDMCCLQ,Wg_Ql89fWy4,LGFcrz0WC28,0.9445137818654377,0.9848244279623032,0,0,0,0
22,22,moma-lrg,WXebOFhT9Og,Bkg8gpNVDDs,hwjqlN3jueg,0.9229653233455288,0.9831382665369246,0,0,0,0
23,23,moma-lrg,egRtK4ASBMY,bh0I-YA6aWY,p9FgzH4xizU,0.8807102193435034,0.9305729061365127,0,0,0,0
24,24,moma-lrg,bh0I-YA6aWY,3C8wTkfRMYM,YbbzaS8rcak,0.9319162877897422,0.9564851701259613,0,0,0,0
25,25,moma-lrg,cGuoio-kc_8,KIlXNWeCiqE,e0HTO41fiyU,0.5082776546478271,0.6433264631213564,0,0,0,0
26,26,moma-lrg,BYJLL9foFHQ,UKxjhvuOYUY,ZJKKVL6gnl8,0.8511531352996826,0.7541521444916726,0,0,0,0
27,27,moma-lrg,9azY_H8UzvI,bFSqQJUABe0,tAB_U-DBajI,0.850068461149931,0.6138384739557902,0,0,0,0
28,28,moma-lrg,pnWynN_tPTQ,4fdkP4uqA9s,fg3RGeL0T3s,1.0000001192092896,0.9137383699417114,0,0,0,0
29,29,moma-lrg,_moTtWvLOZ8,tx-N3amN4IY,ZJKKVL6gnl8,0.7843459248542786,0.7696057786544164,0,0,0,0
30,30,moma-lrg,tx-N3amN4IY,nhUTwcDNl3c,9eF0qmlfd-o,0.9840256196481211,0.8405410457741131,0,0,0,0
31,31,moma-lrg,6OtPSfyZXNw,JR7p4krjmZk,4fdkP4uqA9s,0.6993555396795272,1.0000001192092896,0,0,0,0
32,32,moma-lrg,4fdkP4uqA9s,-aE7Cy-AI78,yTwGI0w705Y,0.6278827786445618,0.9712461153666178,0,0,0,0
33,33,moma-lrg,8DZUEUY0SzU,nG4gDnXwcwU,tx-N3amN4IY,0.5959427952766418,0.627882719039917,0,0,0,0
34,34,moma-lrg,tAB_U-DBajI,mVu2Bw_yO-s,9azY_H8UzvI,1.0,0.6138384739557902,0,0,0,0
35,35,moma-lrg,3wm6XANf0V0,4fdkP4uqA9s,tAB_U-DBajI,0.982028936346372,0.6243717099229494,0,0,0,0
36,36,moma-lrg,3zhWhNVgnJY,wBETRymNJJw,ZJKKVL6gnl8,0.9625188540189695,0.7990682105223338,0,0,0,0
37,37,moma-lrg,qER8HFcN1Ak,vGORnDs_kjk,-aE7Cy-AI78,0.9689902265866597,1.0,0,0,0,0
38,38,moma-lrg,EsnK_UilUQ4,e0HTO41fiyU,Dg_KLQD5yDU,0.7775866967259031,0.7664176838265526,0,0,0,0
39,39,moma-lrg,nG4gDnXwcwU,Ubjq2BEF52E,2OELxGf950s,0.6010864421725273,0.5909407412012418,0,0,0,0
40,40,moma-lrg,t1Xtr3RKjGc,rJYuy4ZtC3w,qER8HFcN1Ak,0.648268461227417,1.0,0,0,0,0
41,41,moma-lrg,Jylt5Fs13g8,WA63Zsa_eiE,rJYuy4ZtC3w,0.5982201149066289,0.6055405620071623,0,0,0,0
42,42,moma-lrg,Kz7HLnGDUys,3uIk5WjVoBk,ztZaq45dwcY,0.6211748108977364,0.6278827786445618,0,0,0,0
43,43,moma-lrg,hDbd2kKQJ6s,p33ftfmLg9o,ZJKKVL6gnl8,1.0,0.7959602807958921,0,0,0,0
44,44,moma-lrg,TnvWqKaBp8M,pnWynN_tPTQ,5bjr7DgN_nk,0.613189697265625,0.8522226181295184,0,0,0,0
45,45,moma-lrg,rJYuy4ZtC3w,9azY_H8UzvI,Z9tJBluH1Zw,0.5970405737559,0.6482684314250946,0,0,0,0
46,46,moma-lrg,bFSqQJUABe0,PQccrk4GTlo,yTwGI0w705Y,0.8131426200270653,0.8859692285458246,0,0,0,0
47,47,moma-lrg,r1FLVVXkn1o,mVu2Bw_yO-s,hDbd2kKQJ6s,0.73518206179142,0.7573351984222729,0,0,0,0
48,48,moma-lrg,8nmfN7Z87-I,Dg_KLQD5yDU,P57aWIsTc_c,0.49356626222530997,0.4694458842277527,0,0,0,0
49,49,moma-lrg,l-n-dvAfpDQ,8nmfN7Z87-I,8UIylJO_zNE,0.4773568759361903,0.613189697265625,0,0,0,0
50,50,moma-lrg,9MPJgeMEEFI,84RYunRQHfI,gatnN08eGew,0.9459144420300922,0.9406035744092045,0,0,0,0
51,51,moma-lrg,M3p3hp4qvso,-TEIPVDYq-E,8UB4i4rNOaw,0.9449455509583156,0.9435676175251342,0,0,0,0
52,52,moma-lrg,mou_i_SRC9k,7rHoCOqpaDw,UiDZfWPYgqA,0.9826216042041778,0.9719398771723109,0,0,0,0
53,53,moma-lrg,S8RR_9-HTfI,gL8V7s-k_D8,8UB4i4rNOaw,0.9945030693585675,0.9909795717450609,0,0,0,0
54,54,moma-lrg,zvtduHLISmc,uTHXY65osAY,VVHl98nsMPI,0.970807981762019,0.937191248294853,0,0,0,0
55,55,moma-lrg,KmRmwTzqGGc,m7yv3J7j2r0,rpMa6exLthw,0.8845120205547345,0.9724021352945812,0,0,0,0
56,56,moma-lrg,2nb-w6juD5c,mxGeGuQZT3s,ITnWfGE6ymQ,0.9716448802205305,0.9765914111283787,0,0,0,0
57,57,moma-lrg,jY9z2ryWGQ0,mUMFAoYLTYY,NR2igYf7fPQ,0.9735375447016136,0.9814840151477876,0,0,0,0
58,58,moma-lrg,CSKsA4llPjA,XA8kPonmtlM,8jLxK1uFxeY,0.9211535746300663,0.9034533475836117,0,0,0,0
59,59,moma-lrg,P98PU-5JvoA,yDWeCsyqRQE,0X2Y3DmuAXw,0.9360025744227802,0.971420874020883,0,0,0,0
60,60,moma-lrg,87OuA4nN42k,tRtXk96M-zo,tQN9hdPNVS4,0.9600595229615767,0.913735634451847,0,0,0,0
61,61,moma-lrg,hyADCS2ceZY,SsC4RrcKeR8,m0MtHFfhhFs,0.9672632747226291,0.9034498090545336,0,0,0,0
62,62,moma-lrg,hxkCju5VUME,7V7XQl4RjJg,yDWeCsyqRQE,0.948717365351816,0.907498409350713,0,0,0,0
63,63,moma-lrg,mHUDJ1xu2CQ,7rHoCOqpaDw,f05koa6s4Jw,0.9804492965340614,0.9710309018560668,0,0,0,0
64,64,moma-lrg,jqM6AVWepAg,7V7XQl4RjJg,6_mWZ4az5-k,0.9767000625530878,0.9763522865871589,0,0,0,0
65,65,moma-lrg,4HRUU51-bno,t22flliJLTQ,tnLTVrHSvA4,0.9171606520139846,0.9273348254343821,0,0,0,0
66,66,moma-lrg,SwPfxKZ6L9Q,w_VKyoWAoyQ,JqvoaItWKl8,0.9404247877774415,0.942372219035865,0,0,0,0
67,67,moma-lrg,tStBSqJjOsY,7V7XQl4RjJg,uTHXY65osAY,0.9927590017517407,0.9728114489804613,0,0,0,0
68,68,moma-lrg,7rHoCOqpaDw,9MouwcIIMxY,Ol-bem_bdro,0.9449914519433621,0.9697194655736288,0,0,0,0
69,69,moma-lrg,yeqK_xkJnp4,87OuA4nN42k,VVHl98nsMPI,0.9904808074235916,0.955709553332556,0,0,0,0
70,70,moma-lrg,1H9rn1e8MEI,XA8kPonmtlM,60fMdvjTHig,0.9780575770019281,0.9348574163034709,0,0,0,0
71,71,moma-lrg,n_BnYsj0kTs,vRy5Ayt8xPk,f05koa6s4Jw,0.9868073649704456,0.9879113244905807,0,0,0,0
72,72,moma-lrg,Ol-bem_bdro,fA_14UaIX_0,Vsj6r7ds31o,0.9316871283966819,0.9873282536864281,0,0,0,0
73,73,moma-lrg,IT9f-0ir1R8,YcLch7wRJkM,lW4lZ-4afPo,0.8908057884355776,0.8998925648629665,0,0,0,0
74,74,moma-lrg,ff-wrDSw9CU,GI9ilRE8YK0,aXw6ZSPtw2I,0.9406600017514493,0.948230440484153,0,0,0,0
75,75,moma-lrg,Mk_KYxCik8c,8hK4UzAH0rk,2iVO3Vl6Ajg,0.8819075028101603,0.9591276662217247,0,0,0,0
76,76,moma-lrg,M95YVWnlqoc,jtQ6deI1LBY,vxWQg-bvuH0,0.6277538299560547,0.8106552370083637,0,0,0,0
77,77,moma-lrg,KMBND9YNWLQ,RdC2rVhrnwc,JE50XTpCN78,0.9727222522099812,0.9921312808990479,0,0,0,0
78,78,moma-lrg,YgDP138H1AI,dK0CaVA-dfs,sLx08J_2YrI,1.0000000993410747,0.6144869923591614,0,0,0,0
79,79,moma-lrg,FdcEJvTTHy8,SQK_DNc70k8,vxWQg-bvuH0,0.6109646260738373,0.9223912457625072,0,0,0,0
80,80,moma-lrg,sLx08J_2YrI,pLxItW03isM,2iVO3Vl6Ajg,0.8535654246807098,0.9030042754279243,0,0,0,0
81,81,moma-lrg,8hK4UzAH0rk,QYmyO3S72a4,FaAKSTx8E7c,0.9296255628267924,0.926243513546608,0,0,0,0
82,82,moma-lrg,Oeml6UdpFvk,FdcEJvTTHy8,R2FsyhtBM-U,0.6109645962715149,0.6106547796063952,0,0,0,0
83,83,moma-lrg,_64NqBd6rTM,R2FsyhtBM-U,ve0R6FBoxVw,0.99672136704127,0.955975877550932,0,0,0,0
84,84,moma-lrg,2iVO3Vl6Ajg,FdcEJvTTHy8,xut1UVMqvck,0.9632270336151123,0.8772214932574167,0,0,0,0
85,85,moma-lrg,RdC2rVhrnwc,2iVO3Vl6Ajg,EOnmMYGwV0M,0.9627890851762559,0.9173700632083983,0,0,0,0
86,86,moma-lrg,qOH0c-Owsag,Yki5bj7WYhU,utONtrHzCxE,0.8206893056631088,1.0,0,0,0,0
87,87,moma-lrg,DFoGgB7pC24,tT4MUpkll_Y,JE50XTpCN78,0.6436898190350759,0.6102210064729054,0,0,0,0
88,88,moma-lrg,AVuz6MTsTr4,_64NqBd6rTM,5x9xojAQrS0,0.8484600000083447,0.861093994230032,0,0,0,0
89,89,moma-lrg,utONtrHzCxE,Mk_KYxCik8c,DFoGgB7pC24,0.6393493016560873,1.0000000993410747,0,0,0,0
90,90,moma-lrg,bBPt1Xctnes,cL_nOKlE0O8,vxWQg-bvuH0,0.9859683002327002,0.960521787022933,0,0,0,0
91,91,moma-lrg,cRXzFeN0NYM,FdcEJvTTHy8,Mk_KYxCik8c,0.9830439964930215,0.9605796118577321,0,0,0,0
92,92,moma-lrg,xut1UVMqvck,JE50XTpCN78,JLmHxRbOm78,0.9409846067428589,0.8755542154734334,0,0,0,0
93,93,moma-lrg,JE50XTpCN78,DFoGgB7pC24,bBPt1Xctnes,0.6102210064729054,0.9843861008683841,0,0,0,0
94,94,moma-lrg,YhZLNRHJxEw,JolmVvwTTHA,boTaVnmK5gM,0.8124577444460657,0.8974016768236956,0,0,0,0
95,95,moma-lrg,Yki5bj7WYhU,boTaVnmK5gM,sLx08J_2YrI,0.9462640397250652,0.9394890881246991,0,0,0,0
96,96,moma-lrg,uiDZRwYOl24,Oeml6UdpFvk,5x9xojAQrS0,0.6230124259988468,0.6230124077863164,0,0,0,0
97,97,moma-lrg,R2FsyhtBM-U,Oeml6UdpFvk,5x9xojAQrS0,0.6106547796063952,0.6106547514597576,0,0,0,0
98,98,moma-lrg,EOnmMYGwV0M,qOH0c-Owsag,sLx08J_2YrI,0.9107591878800165,0.8990695675214132,0,0,0,0
99,99,moma-lrg,JolmVvwTTHA,cRXzFeN0NYM,8hK4UzAH0rk,0.6372669577598572,0.8245397085944811,0,0,0,0
100,100,moma-lrg,9xsbZRBjvCQ,s8JsYHSLnBY,NCFQ_JYRD4o,0.5606321539315913,0.4481751173734665,0,0,0,0
101,101,moma-lrg,jHBmwCdgjDI,dNNy0E2Tx6E,M04EFUD7Kn4,0.43614278733730316,0.43614284694194794,0,0,0,0
102,102,moma-lrg,NIsDrtPTTd8,gfnb9H1B1e0,LTY2IpkhPoQ,0.7864388898015022,0.6619142174720765,0,0,0,0
103,103,moma-lrg,An4kjNqbwfE,fcP7uWugMHk,wqmzwVrkTU4,0.8640973177694139,0.915766793820593,0,0,0,0
104,104,moma-lrg,PU_IGbSfpHM,ONuCfzGCE8w,fmrNar76QPg,0.8726103782653809,0.8566867202520371,0,0,0,0
105,105,moma-lrg,UFL_Cx41onI,kh2MI9Rgy14,ZA8vnyvH0BI,0.734978416065375,0.7838456680377325,0,0,0,0
106,106,moma-lrg,HlugLE4TaLA,dNNy0E2Tx6E,f4RTaVnCnLI,0.43614278733730316,0.8640815826753776,0,0,0,0
107,107,moma-lrg,0WnSIxaiPIg,MsKFOcx96CQ,ULBMdULXm5U,0.7415648847818375,0.6138830661773682,0,0,0,0
108,108,moma-lrg,X4XxCmZAfIA,E1QnoqzZuTs,WlsY3dDNE7A,1.0000001192092896,0.9999999880790711,0,0,0,0
109,109,moma-lrg,Z7Yp_TOt43s,ULBMdULXm5U,kh2MI9Rgy14,1.0,0.7349784215291342,0,0,0,0
110,110,moma-lrg,XVqCYWwiXwg,rk2mCGCNZ_o,kh2MI9Rgy14,0.9882046668617813,0.7349784215291342,0,0,0,0
111,111,moma-lrg,DoCzLhmWJok,LrMVUDt1R6M,X4XxCmZAfIA,0.765393428504467,0.765393353998661,0,0,0,0
112,112,moma-lrg,pqgCxgd3l2g,dNNy0E2Tx6E,MsKFOcx96CQ,0.4655095152556896,0.4655095934867859,0,0,0,0
113,113,moma-lrg,2-VLuvASCdg,ADzHI5-IRxw,0WnSIxaiPIg,0.9548199911912283,0.7562995937963326,0,0,0,0
114,114,moma-lrg,NCFQ_JYRD4o,40n56DmQ7L4,ULBMdULXm5U,0.8871546818150413,0.9044577836990357,0,0,0,0
115,115,moma-lrg,vDTd7UUig-Q,DoCzLhmWJok,gfnb9H1B1e0,0.765393353998661,0.46359932174285257,0,0,0,0
116,116,moma-lrg,ZA8vnyvH0BI,WlWBNc8qL04,PU_IGbSfpHM,0.8464184155066807,0.7838456514808867,0,0,0,0
117,117,moma-lrg,iV9hI-qpWWQ,GyLlw1CgXf8,ADkm4qkXAj8,0.8441025018692017,1.0000001788139343,0,0,0,0
118,118,moma-lrg,wqmzwVrkTU4,e-lkh8fDbSo,fmrNar76QPg,0.9626148144404094,0.9423062238428328,0,0,0,0
119,119,moma-lrg,Txz1j3sxZ7k,09AMBU0QvY8,rk2mCGCNZ_o,1.0000002185503643,0.40286364323563045,0,0,0,0
120,120,moma-lrg,ADkm4qkXAj8,jHBmwCdgjDI,pqgCxgd3l2g,0.5323072671890259,0.6255689412355423,0,0,0,0
121,121,moma-lrg,WlWBNc8qL04,An4kjNqbwfE,mOlQg5THqhE,0.9469210008780161,0.7756891846656799,0,0,0,0
122,122,moma-lrg,3w1XWTmYP_c,gfnb9H1B1e0,XDdgPY3f_0c,0.4635992931822936,0.4576618160914492,0,0,0,0
123,123,moma-lrg,p6SNCvIN4EI,XVqCYWwiXwg,GyLlw1CgXf8,0.6131340513626734,0.9353690147399902,0,0,0,0
124,124,moma-lrg,gfnb9H1B1e0,s8JsYHSLnBY,p6SNCvIN4EI,0.8936915782590708,0.9520766846835613,0,0,0,0
125,125,moma-lrg,pjc-yg6pMw0,gHYbSQCQWAg,McN0-DpyHzE,0.8509170730908712,0.9129510309015002,0,0,0,0
126,126,moma-lrg,pGEsGBQrd2M,W76yK-g2ql0,yWfUg5ja90k,0.9717897565828431,1.0000001192092896,0,0,0,0
127,127,moma-lrg,dPEIMdQ2t3U,B5oBSqbeMh8,pjc-yg6pMw0,0.8827711016391262,1.0000001192092896,0,0,0,0
128,128,moma-lrg,XWzhqHc5EyA,FjBg01LT8yg,yWfUg5ja90k,0.9709680535727077,1.0000001192092896,0,0,0,0
129,129,moma-lrg,L4hCri3lEoI,hdYF31MGbbc,KtlWyBlAypE,1.0000001192092896,0.9424837237154996,0,0,0,0
130,130,moma-lrg,0cBpMas109g,XWzhqHc5EyA,3kulsaarL_k,0.7870243589083353,1.00000003973643,0,0,0,0
131,131,moma-lrg,3kulsaarL_k,p7xbq9w7nl8,LOJbM0aXZp0,0.9069209694862366,0.8902252001894844,0,0,0,0
132,132,moma-lrg,7KMxYHnXEYs,8Xc4uaQ0HmQ,B5oBSqbeMh8,0.9368141144514084,0.869012583160039,0,0,0,0
133,133,moma-lrg,BwSwmG90QBQ,FjBg01LT8yg,U5YyYUplS9A,0.9709679426418409,1.0000001192092896,0,0,0,0
134,134,moma-lrg,1_dqejDHUgQ,p7xbq9w7nl8,FFbHZLlq5vs,0.9361073642969132,0.8895678520202637,0,0,0,0
135,135,moma-lrg,T6_OBLgqteU,W76yK-g2ql0,OntHJBepEkk,0.9521517662538422,0.9314740813440747,0,0,0,0
136,136,moma-lrg,k2GxGwWfqgQ,UlIGI3laGAo,1pdWDNayqg4,0.9127934724092484,0.8740547478199006,0,0,0,0
137,137,moma-lrg,UlIGI3laGAo,W76yK-g2ql0,T6_OBLgqteU,0.9277761359181671,0.8903366600473721,0,0,0,0
138,138,moma-lrg,8TKE_cA_7z4,tYqf5yphMHY,gHYbSQCQWAg,0.9774317178461287,0.8928886542717616,0,0,0,0
139,139,moma-lrg,RRy_73ivcms,W76yK-g2ql0,cV4eiFeghq8,0.9277761359181671,0.9578122580894317,0,0,0,0
140,140,moma-lrg,xnwy_hufwiE,pGEsGBQrd2M,cO_ju5UUpZ0,1.0000001192092896,0.9211829051611915,0,0,0,0
141,141,moma-lrg,LOJbM0aXZp0,3kulsaarL_k,k2GxGwWfqgQ,0.8902251935667461,0.9127934724092484,0,0,0,0
142,142,moma-lrg,1Q7eRNZcKDk,X-k36cUhNVQ,8Xc4uaQ0HmQ,0.9776508912895665,0.972145453095436,0,0,0,0
143,143,moma-lrg,b1f51TOXWik,T6_OBLgqteU,McN0-DpyHzE,0.8959774672985077,0.9129510181290763,0,0,0,0
144,144,moma-lrg,1pdWDNayqg4,1Q7eRNZcKDk,pjc-yg6pMw0,0.8822060048580169,0.8740546921888986,0,0,0,0
145,145,moma-lrg,OntHJBepEkk,cV4eiFeghq8,1pdWDNayqg4,0.9484643040582387,0.9505584190289178,0,0,0,0
146,146,moma-lrg,hWuOrDCfD7o,k2GxGwWfqgQ,2FrRnbHqogo,1.0000001192092896,0.9208496157445158,0,0,0,0
147,147,moma-lrg,FjBg01LT8yg,tYqf5yphMHY,k2GxGwWfqgQ,0.9709680502613385,0.970967999762959,0,0,0,0
148,148,moma-lrg,6KNeOxhAegw,1Q7eRNZcKDk,HDS09aOAiK4,0.9509631954961353,0.9717739770809808,0,0,0,0
149,149,moma-lrg,hdYF31MGbbc,1Q7eRNZcKDk,hWuOrDCfD7o,0.986459199587504,1.0000001192092896,0,0,0,0
150,150,moma-lrg,s_YYQCYkwXA,CFdoDDUSacQ,PhSblQFGd3E,0.5000406503677368,0.9119645953178406,0,0,0,0
151,151,moma-lrg,pUNHUCO3x6s,c55NNuvFD1U,sVa4HJqiUaQ,0.37908117411037284,0.47178756693998974,0,0,0,0
152,152,moma-lrg,mFNl2Z4EHVQ,s_YYQCYkwXA,AE4USFmChIc,0.5258031735817591,0.6791723370552063,0,0,0,0
153,153,moma-lrg,xLdOlqsJXmc,CrG64hSvUD8,R27_OIjwJvg,0.7214748859405518,0.6013727916611565,0,0,0,0
154,154,moma-lrg,E3XpMuoM2ig,1TrMySCz0KA,RuiSExp2s7M,0.5944128632545471,0.9149597804335987,0,0,0,0
155,155,moma-lrg,xJhhb6LaMEY,YlflNGhP9s8,ZR-l_jxnQG0,0.9228078603744507,0.428914874792099,0,0,0,0
156,156,moma-lrg,sVa4HJqiUaQ,oxzSysvGzAE,PhSblQFGd3E,0.6661457657814026,0.47178763151168823,0,0,0,0
157,157,moma-lrg,g3q3iOGRhfU,9KROcGHu5NI,sVa4HJqiUaQ,0.9839182992776235,0.855264775454998,0,0,0,0
158,158,moma-lrg,dGvYk8aHRt8,vSsrwnVAfvA,R27_OIjwJvg,0.8098011940717696,0.5874877965284719,0,0,0,0
159,159,moma-lrg,QJgj9r6IbAc,xJhhb6LaMEY,AE4USFmChIc,0.8070197502772013,1.0000000596046448,0,0,0,0
160,160,moma-lrg,tU03wyKEqDQ,waqXUFqTAlI,jE5lKLsbpxA,0.7577298446385948,0.7413869102795918,0,0,0,0
161,161,moma-lrg,9KROcGHu5NI,asCCeiLq9nc,r0q5-Uy1lI8,0.895282465114928,0.75877445936203,0,0,0,0
162,162,moma-lrg,iCn14KLCerY,S1CfItpKg7c,-4D7j7A9qqM,0.3576618485773603,0.5840206048278898,0,0,0,0
163,163,moma-lrg,oaYtFLGELB8,ZcZWKvH_EBs,xLdOlqsJXmc,0.9779911506921053,0.38604208330313367,0,0,0,0
164,164,moma-lrg,1TrMySCz0KA,asCCeiLq9nc,YlflNGhP9s8,0.9194367252595244,0.5904875377813974,0,0,0,0
165,165,moma-lrg,qrXv5bA9AP8,c55NNuvFD1U,s_YYQCYkwXA,0.8675600859440036,0.7062067356374528,0,0,0,0
166,166,moma-lrg,QNOYwn52y_M,CFdoDDUSacQ,asCCeiLq9nc,0.8094518979390463,0.8343214740355809,0,0,0,0
167,167,moma-lrg,Xo6QwtS4TWI,DEUmwjPsIgI,ssmXfmAY4UM,0.9621270461515947,0.7402361749360958,0,0,0,0
168,168,moma-lrg,r0q5-Uy1lI8,QJgj9r6IbAc,onELK5RLU5M,1.0,0.59928015122811,0,0,0,0
169,169,moma-lrg,ZcZWKvH_EBs,xJhhb6LaMEY,iv56O-NGBGg,0.55918157286942,0.6472143126030763,0,0,0,0
170,170,moma-lrg,CFdoDDUSacQ,vSsrwnVAfvA,dGvYk8aHRt8,0.8370752811431885,0.8140600994229317,0,0,0,0
171,171,moma-lrg,ssmXfmAY4UM,c55NNuvFD1U,aJmo9Eu1aJw,0.8218232026944557,0.7114751246806822,0,0,0,0
172,172,moma-lrg,rbjgTjH8fT0,xLdOlqsJXmc,ssmXfmAY4UM,0.38604208330313367,0.6888367235660553,0,0,0,0
173,173,moma-lrg,iv56O-NGBGg,oaYtFLGELB8,QJgj9r6IbAc,0.4562579512596131,0.9697840859492619,0,0,0,0
174,174,moma-lrg,ZR-l_jxnQG0,RuiSExp2s7M,PhSblQFGd3E,0.3789396956562996,1.0000000596046448,0,0,0,0
175,175,moma-lrg,MsxmLrkx2Og,qwKdUvfITnY,tFtChJ3a8f8,0.9880358837544918,0.8770940899848938,0,0,0,0
176,176,moma-lrg,88Kp6FaCygY,S7nyVrqGhqY,jQosbWxluvs,0.8725265979766845,0.8937722643216451,0,0,0,0
177,177,moma-lrg,jQosbWxluvs,PMYp6B4XjcM,EaBgDeVQNYE,0.8809395351757605,0.9285055845975876,0,0,0,0
178,178,moma-lrg,sqkL6D0ScR0,aFIYUSRZUEs,dZW6J4bKPG8,0.8233580768108368,0.8881968644758065,0,0,0,0
179,179,moma-lrg,RI0xj8aaTlE,jQosbWxluvs,QxGVgXf_LNk,0.9742556810379028,0.9435620916386445,0,0,0,0
180,180,moma-lrg,VBlKd14589c,1DuDe5GQiJQ,EaBgDeVQNYE,0.8061091750424507,0.8123578176730208,0,0,0,0
181,181,moma-lrg,PMYp6B4XjcM,aFIYUSRZUEs,tFtChJ3a8f8,0.8609890952706337,0.9392713718116283,0,0,0,0
182,182,moma-lrg,tFtChJ3a8f8,hxRK0-pWSO4,gXQhdB1y674,0.7222668498754501,0.6059837073087693,0,0,0,0
183,183,moma-lrg,dZW6J4bKPG8,ufQMaOoiB_g,jQosbWxluvs,0.9456637081290993,0.9806917607784271,0,0,0,0
184,184,moma-lrg,qwKdUvfITnY,UtN68kw1hl0,VBlKd14589c,0.9143950060009957,0.8926522462732261,0,0,0,0
185,185,moma-lrg,EaBgDeVQNYE,tFtChJ3a8f8,dZW6J4bKPG8,0.7594882839669783,0.9643113745583428,0,0,0,0
186,186,moma-lrg,QxGVgXf_LNk,PMYp6B4XjcM,VBlKd14589c,0.9570104957868655,0.9438835826391976,0,0,0,0
187,187,moma-lrg,Oww65QJ7ix8,MsxmLrkx2Og,ufQMaOoiB_g,0.9415087578473267,0.7366386452916438,0,0,0,0
188,188,moma-lrg,p15SVRulr58,hxRK0-pWSO4,tFtChJ3a8f8,0.9577183432049221,0.8260139676707763,0,0,0,0
189,189,moma-lrg,ufQMaOoiB_g,PMYp6B4XjcM,tFtChJ3a8f8,0.8699901176705247,0.7454111451903979,0,0,0,0
190,190,moma-lrg,1DuDe5GQiJQ,hxRK0-pWSO4,qwKdUvfITnY,0.9521084270979229,0.5884914330549931,0,0,0,0
191,191,moma-lrg,PJqe4wHNm7c,Ns0sWp5tYWo,0s1al8931l0,0.7029557824134827,0.9217434237400691,0,0,0,0
192,192,moma-lrg,mFBqox1msQE,DiBeIb1URlA,Mtlr9C7dI7s,0.4081062525510788,0.37514795176684856,0,0,0,0
193,193,moma-lrg,Ns0sWp5tYWo,WibnP1pWqBs,NQxQk-cKEK0,0.7298724353313446,0.2671100050210953,0,0,0,0
